name,manufacturer,tdp,cores,frequency,total_die_size,gwp_embedded,gwp_use,gwp_total,pe_embedded,pe_use,pe_total,adp_embedded,adp_use,adp_total
AMD A4-3300M,AMD,35.0,2.0,1.9,228.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A4-3305M,AMD,35.0,2.0,1.9,228.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A4-3310MX,AMD,35.0,2.0,2.1,228.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A4-3320M,AMD,35.0,2.0,2.0,228.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A4-3330MX,AMD,45.0,2.0,2.2,228.0,17.0,400.0,417.0,260.0,20000.0,20260.0,0.0204,8e-05,0.02048
AMD A4-3400,AMD,65.0,2.0,2.7,228.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-3420,AMD,65.0,2.0,2.8,228.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-4000,AMD,65.0,2.0,3.0,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-4020,AMD,65.0,2.0,3.2,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-4300M,AMD,35.0,2.0,2.5,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A4-4355M,AMD,17.0,2.0,1.9,246.0,17.0,170.0,187.0,260.0,10000.0,10260.0,0.0204,3e-05,0.02043
AMD A4-5000,AMD,15.0,4.0,1.5,107.0,12.7,150.0,162.7,200.0,10000.0,10200.0,0.0204,2.5e-05,0.020425000000000002
AMD A4-5050,AMD,15.0,4.0,1.55,107.0,12.7,150.0,162.7,200.0,10000.0,10200.0,0.0204,2.5e-05,0.020425000000000002
AMD A4-5145M,AMD,17.0,2.0,2.0,246.0,17.0,170.0,187.0,260.0,10000.0,10260.0,0.0204,3e-05,0.02043
AMD A4-5150M,AMD,35.0,2.0,2.7,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A4-5300,AMD,65.0,2.0,3.4,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-5300B,AMD,65.0,2.0,3.4,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-6300,AMD,65.0,2.0,3.7,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-6300B,AMD,65.0,2.0,3.7,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-6320,AMD,65.0,2.0,3.8,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-6320B,AMD,65.0,2.0,3.8,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A4-7300,AMD,65.0,2.0,3.8,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6 PRO-7400B,AMD,65.0,2.0,3.5,245.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-1450,AMD,8.0,4.0,1.0,107.0,12.7,80.0,92.7,200.0,3000.0,3200.0,0.0204,1.3e-05,0.020413
AMD A6-3400M,AMD,35.0,4.0,1.4,228.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A6-3410MX,AMD,45.0,4.0,1.6,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A6-3420M,AMD,35.0,4.0,1.5,228.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A6-3430MX,AMD,45.0,4.0,1.7,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A6-3500,AMD,65.0,3.0,2.1,228.0,14.48,600.0,614.48,227.8,20000.0,20227.8,0.0204,0.00011,0.02051
AMD A6-3600,AMD,65.0,4.0,2.1,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A6-3620,AMD,65.0,4.0,2.2,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A6-3650,AMD,100.0,4.0,2.6,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A6-3670K,AMD,100.0,4.0,2.7,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A6-4400M,AMD,35.0,2.0,2.7,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-4455M,AMD,17.0,2.0,2.1,246.0,17.0,170.0,187.0,260.0,10000.0,10260.0,0.0204,3e-05,0.02043
AMD A6-5200,AMD,25.0,4.0,2.0,107.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD A6-5345M,AMD,17.0,2.0,2.2,246.0,17.0,170.0,187.0,260.0,10000.0,10260.0,0.0204,3e-05,0.02043
AMD A6-5350M,AMD,35.0,2.0,2.9,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-5357M,AMD,35.0,2.0,2.9,246.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-5400B,AMD,65.0,2.0,3.6,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-5400K,AMD,65.0,2.0,3.6,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-6400B,AMD,65.0,2.0,3.9,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-6400K,AMD,65.0,2.0,3.9,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-6420K,AMD,65.0,2.0,4.0,246.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-7400K,AMD,65.0,2.0,3.5,245.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-7470K,AMD,65.0,2.0,3.7,245.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-7480,AMD,45.0,2.0,3.5,250.0,17.0,400.0,417.0,260.0,20000.0,20260.0,0.0204,8e-05,0.02048
AMD A6-9120C SoC,AMD,6.0,2.0,1.6,124.0,17.0,60.0,77.0,260.0,2000.0,2260.0,0.0204,1e-05,0.02041
AMD A6-9220C SoC,AMD,6.0,2.0,1.8,124.0,17.0,60.0,77.0,260.0,2000.0,2260.0,0.0204,1e-05,0.02041
AMD A6-9400,AMD,65.0,2.0,3.4,250.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-9500,AMD,65.0,2.0,3.5,250.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A6-9500E,AMD,35.0,2.0,3.0,250.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD A6-9550,AMD,65.0,2.0,3.8,250.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD A8 PRO-7600B,AMD,65.0,4.0,3.1,245.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-3500M,AMD,35.0,4.0,1.5,228.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-3510MX,AMD,45.0,4.0,1.8,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-3520M,AMD,35.0,4.0,1.6,228.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-3530MX,AMD,45.0,4.0,1.9,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-3550MX,AMD,45.0,4.0,2.0,228.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-3800,AMD,65.0,4.0,2.4,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-3820,AMD,65.0,4.0,2.5,228.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-3850,AMD,100.0,4.0,2.9,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A8-3870K,AMD,100.0,4.0,3.0,228.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A8-4500M,AMD,35.0,4.0,1.9,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-4555M,AMD,19.0,4.0,1.6,246.0,12.7,190.0,202.7,200.0,10000.0,10200.0,0.0204,3e-05,0.02043
AMD A8-5500,AMD,65.0,4.0,3.2,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-5500B,AMD,65.0,4.0,3.2,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-5545M,AMD,25.0,4.0,1.7,246.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD A8-5550M,AMD,35.0,4.0,2.1,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-5557M,AMD,35.0,4.0,2.1,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A8-5600K,AMD,100.0,4.0,3.6,246.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A8-6500,AMD,65.0,4.0,3.5,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-6500B,AMD,65.0,4.0,3.5,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-6500T,AMD,45.0,4.0,2.1,246.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-6600K,AMD,100.0,4.0,3.9,246.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A8-7600,AMD,65.0,4.0,3.1,245.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A8-7650K,AMD,95.0,4.0,3.3,245.0,12.7,900.0,912.7,200.0,30000.0,30200.0,0.0204,0.00016,0.020560000000000002
AMD A8-7670K,AMD,95.0,4.0,3.6,245.0,12.7,900.0,912.7,200.0,30000.0,30200.0,0.0204,0.00016,0.020560000000000002
AMD A8-7680,AMD,45.0,4.0,3.5,250.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A8-9600,AMD,65.0,4.0,3.1,250.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A9-9400 SoC,AMD,10.0,2.0,2.4,124.0,17.0,100.0,117.0,260.0,3000.0,3260.0,0.0204,1.7e-05,0.020417
AMD A9-9410 SoC,AMD,25.0,2.0,2.9,124.0,17.0,250.0,267.0,260.0,10000.0,10260.0,0.0204,4e-05,0.02044
AMD A9-9420 SoC,AMD,15.0,2.0,3.0,124.0,17.0,150.0,167.0,260.0,10000.0,10260.0,0.0204,2.5e-05,0.020425000000000002
AMD A9-9425 SoC,AMD,15.0,2.0,3.1,124.0,17.0,150.0,167.0,260.0,10000.0,10260.0,0.0204,2.5e-05,0.020425000000000002
AMD Athlon 1000,AMD,54.0,1.0,1.0,120.0,13.71,500.0,513.71,217.5,20000.0,20217.5,0.0204,9e-05,0.02049
AMD Athlon 1100,AMD,60.0,1.0,1.1,120.0,13.71,600.0,613.71,217.5,20000.0,20217.5,0.0204,0.0001,0.0205
AMD Athlon 1133,AMD,63.0,1.0,1.133,120.0,13.71,600.0,613.71,217.5,20000.0,20217.5,0.0204,0.00011,0.02051
AMD Athlon 1200,AMD,66.0,1.0,1.2,120.0,13.71,700.0,713.71,217.5,20000.0,20217.5,0.0204,0.00011,0.02051
AMD Athlon 1300,AMD,68.0,1.0,1.3,120.0,13.71,700.0,713.71,217.5,20000.0,20217.5,0.0204,0.00011,0.02051
AMD Athlon 1333,AMD,70.0,1.0,1.333,120.0,13.71,700.0,713.71,217.5,20000.0,20217.5,0.0204,0.00012,0.02052
AMD Athlon 1400,AMD,72.0,1.0,1.4,120.0,13.71,700.0,713.71,217.5,20000.0,20217.5,0.0204,0.00012,0.02052
AMD Athlon 200GE,AMD,35.0,2.0,3.2,1672.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD Athlon 220GE,AMD,35.0,2.0,3.4,1672.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD Athlon 240GE,AMD,35.0,2.0,3.5,1672.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD Athlon 3000G,AMD,35.0,2.0,3.5,148.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD Athlon 5150,AMD,25.0,4.0,1.6,107.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD Athlon 5350,AMD,25.0,4.0,2.05,107.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD Athlon 5370,AMD,25.0,4.0,2.2,107.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD Athlon 600,AMD,38.0,1.0,0.6,120.0,13.71,400.0,413.71,217.5,10000.0,10217.5,0.0204,6e-05,0.020460000000000002
AMD Athlon 64 1500+,AMD,9.0,1.0,1.0,84.0,13.71,90.0,103.71000000000001,217.5,3000.0,3217.5,0.0204,1.5e-05,0.020415000000000003
AMD Athlon 64 2000+,AMD,8.0,1.0,1.0,77.0,13.71,80.0,93.71000000000001,217.5,3000.0,3217.5,0.0204,1.3e-05,0.020413
AMD Athlon 64 2600+,AMD,15.0,1.0,1.6,77.0,13.71,150.0,163.71,217.5,10000.0,10217.5,0.0204,2.5e-05,0.020425000000000002
AMD Athlon 64 2650e,AMD,15.0,1.0,1.6,77.0,13.71,150.0,163.71,217.5,10000.0,10217.5,0.0204,2.5e-05,0.020425000000000002
AMD Athlon 64 2700+,AMD,32.0,1.0,1.6,144.0,13.71,320.0,333.71,217.5,10000.0,10217.5,0.0204,5e-05,0.020450000000000003
AMD Athlon 64 2800+,AMD,89.0,1.0,1.8,193.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 2850e,AMD,22.0,1.0,1.8,77.0,13.71,220.0,233.71,217.5,10000.0,10217.5,0.0204,4e-05,0.02044
AMD Athlon 64 3000+,AMD,32.0,1.0,1.8,144.0,13.71,320.0,333.71,217.5,10000.0,10217.5,0.0204,5e-05,0.020450000000000003
AMD Athlon 64 3100+,AMD,25.0,1.0,2.0,77.0,13.71,250.0,263.71,217.5,10000.0,10217.5,0.0204,4e-05,0.02044
AMD Athlon 64 3200+,AMD,89.0,1.0,2.0,144.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 3300+,AMD,89.0,1.0,2.4,144.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 3400+,AMD,89.0,1.0,2.2,144.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 3500+,AMD,67.0,1.0,2.2,83.0,13.71,700.0,713.71,217.5,20000.0,20217.5,0.0204,0.00011,0.02051
AMD Athlon 64 3500+ (F3),AMD,59.0,1.0,2.2,103.0,13.71,600.0,613.71,217.5,20000.0,20217.5,0.0204,0.0001,0.0205
AMD Athlon 64 3500+ EE,AMD,35.0,1.0,2.2,183.0,13.71,300.0,313.71,217.5,10000.0,10217.5,0.0204,6e-05,0.020460000000000002
AMD Athlon 64 3600+,AMD,89.0,1.0,2.4,193.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 3700+,AMD,89.0,1.0,2.4,193.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 3800+,AMD,62.0,1.0,2.4,183.0,13.71,600.0,613.71,217.5,20000.0,20217.5,0.0204,0.0001,0.0205
AMD Athlon 64 3800+ (F3),AMD,59.0,1.0,2.4,103.0,13.71,600.0,613.71,217.5,20000.0,20217.5,0.0204,0.0001,0.0205
AMD Athlon 64 4000+,AMD,89.0,1.0,2.4,199.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 4000+ (F3),AMD,59.0,1.0,2.6,103.0,13.71,600.0,613.71,217.5,20000.0,20217.5,0.0204,0.0001,0.0205
AMD Athlon 64 FX-51,AMD,89.0,1.0,2.2,193.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 FX-53,AMD,89.0,1.0,2.4,193.0,13.71,900.0,913.71,217.5,30000.0,30217.5,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 FX-55,AMD,104.0,1.0,2.6,193.0,13.71,1000.0,1013.71,217.5,40000.0,40217.5,0.0204,0.00018,0.02058
AMD Athlon 64 FX-57,AMD,104.0,1.0,2.8,115.0,13.71,1000.0,1013.71,217.5,40000.0,40217.5,0.0204,0.00018,0.02058
AMD Athlon 64 FX-60,AMD,110.0,2.0,2.6,199.0,17.0,1100.0,1117.0,260.0,40000.0,40260.0,0.0204,0.00019,0.02059
AMD Athlon 64 FX-62,AMD,125.0,2.0,2.8,220.0,17.0,1200.0,1217.0,260.0,40000.0,40260.0,0.0204,0.00021,0.02061
AMD Athlon 64 FX-70,AMD,125.0,2.0,2.6,235.0,17.0,1200.0,1217.0,260.0,40000.0,40260.0,0.0204,0.00021,0.02061
AMD Athlon 64 FX-72,AMD,125.0,2.0,2.8,235.0,17.0,1200.0,1217.0,260.0,40000.0,40260.0,0.0204,0.00021,0.02061
AMD Athlon 64 FX-74,AMD,125.0,2.0,3.0,235.0,17.0,1200.0,1217.0,260.0,40000.0,40260.0,0.0204,0.00021,0.02061
AMD Athlon 64 FX-76,AMD,125.0,2.0,3.2,235.0,17.0,1200.0,1217.0,260.0,40000.0,40260.0,0.0204,0.00021,0.02061
AMD Athlon 64 LE-1600,AMD,45.0,1.0,2.2,230.0,13.71,400.0,413.71,217.5,20000.0,20217.5,0.0204,8e-05,0.02048
AMD Athlon 64 LE-1620,AMD,45.0,1.0,2.4,303.0,13.71,400.0,413.71,217.5,20000.0,20217.5,0.0204,8e-05,0.02048
AMD Athlon 64 LE-1640,AMD,45.0,1.0,2.6,303.0,13.71,400.0,413.71,217.5,20000.0,20217.5,0.0204,8e-05,0.02048
AMD Athlon 64 LE-1640B,AMD,45.0,1.0,2.7,77.0,13.71,400.0,413.71,217.5,20000.0,20217.5,0.0204,8e-05,0.02048
AMD Athlon 64 LE-1660,AMD,45.0,1.0,2.8,77.0,13.71,400.0,413.71,217.5,20000.0,20217.5,0.0204,8e-05,0.02048
AMD Athlon 64 X2 3600+,AMD,65.0,2.0,1.9,126.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 3600+ EE,AMD,65.0,2.0,2.0,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 3800+,AMD,89.0,2.0,2.0,156.0,17.0,900.0,917.0,260.0,30000.0,30260.0,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 X2 3800+ EE,AMD,65.0,2.0,2.0,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 3800+ EE SFF,AMD,35.0,2.0,2.0,220.0,17.0,300.0,317.0,260.0,10000.0,10260.0,0.0204,6e-05,0.020460000000000002
AMD Athlon 64 X2 4000+,AMD,89.0,2.0,2.0,220.0,17.0,900.0,917.0,260.0,30000.0,30260.0,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 X2 4000+ EE,AMD,65.0,2.0,2.0,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 4200+,AMD,89.0,2.0,2.2,220.0,17.0,900.0,917.0,260.0,30000.0,30260.0,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 X2 4200+ EE,AMD,65.0,2.0,2.2,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 4400+,AMD,89.0,2.0,2.2,220.0,17.0,900.0,917.0,260.0,30000.0,30260.0,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 X2 4400+ EE,AMD,65.0,2.0,2.2,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 4600+,AMD,89.0,2.0,2.4,156.0,17.0,900.0,917.0,260.0,30000.0,30260.0,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 X2 4600+ EE,AMD,65.0,2.0,2.4,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 4800+,AMD,110.0,2.0,2.4,199.0,17.0,1100.0,1117.0,260.0,40000.0,40260.0,0.0204,0.00019,0.02059
AMD Athlon 64 X2 4800+ EE,AMD,65.0,2.0,2.4,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 5000+,AMD,89.0,2.0,2.6,220.0,17.0,900.0,917.0,260.0,30000.0,30260.0,0.0204,0.00015,0.020550000000000002
AMD Athlon 64 X2 5000+ BE,AMD,65.0,2.0,2.6,126.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 5000+ EE,AMD,65.0,2.0,2.6,220.0,17.0,600.0,617.0,260.0,20000.0,20260.0,0.0204,0.00011,0.02051
AMD Athlon 64 X2 5200+,AMD,89.0,2.0,2.6,220.0,17.0,900.0,917.0,260.0,30000.0,30260.0,0.0204,0.00015,0.020550000000000002
