name,capacity,technology,form factor,connectivity,release date,more tech info,dram inside,release year,capacity TBytes,power_idle,power_avg,power_max
Acer Predator GM7 (YMTC CDT2A X3-9060),512 GB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,DRAM-less(32 MB HMB),2023,0.5,0.05,4,4
Acer Predator GM7 (YMTC CDT2A X3-9060),1 TB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,DRAM-less(32 MB HMB),2023,1,1,4,6
Acer Predator GM7 (YMTC CDT2A X3-9060),2 TB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,DRAM-less(32 MB HMB),2023,2,0.05,6,6
Acer GM3500,512 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,SM2262ENG,1024 MB(1 TB model),2021,0.5,1,0,6
Acer GM3500,1 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,SM2262ENG,1024 MB(1 TB model),2021,1,1,4,6
Acer FA200,500 GB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,0.48828125,0,0,0
Acer FA200,1 TB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,1,0,0,0
Acer FA200,2 TB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,2,1,4,6
Acer FA200,4 TB,QLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Dec 2023,MAP1602A,DRAM-less(40 MB HMB),2023,4,0,0,0
Acer FA100 (Micron B47R),128 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,0.125,2,0,2
Acer FA100 (Micron B47R),256 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,0.25,2,0,4
Acer FA100 (Micron B47R),512 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,0.5,2,4,4
Acer FA100 (Micron B47R),1 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,1,1,4,4
Acer FA100 (Micron B47R),2 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,2,2,0,4
Acer FA100 (Micron B27B),128 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,0.125,2,0,2
Acer FA100 (Micron B27B),256 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,0.25,2,0,4
Acer FA100 (Micron B27B),512 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,0.5,2,4,4
Acer FA100 (Micron B27B),1 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,1,1,4,4
Acer FA100 (Micron B27B),2 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,Apr 2021,IG5216,DRAM-less(64 MB HMB),2021,2,2,0,4
ADATA Ultimate SU900,128 GB,MLCMicron32-layer,"2.5""",SATA 6 Gbps,Dec 2016,SM2258H,1024 MB(1 TB model),2016,0.125,0,0,0
ADATA Ultimate SU900,256 GB,MLCMicron32-layer,"2.5""",SATA 6 Gbps,Dec 2016,SM2258H,1024 MB(1 TB model),2016,0.25,0,0,0
ADATA Ultimate SU900,512 GB,MLCMicron32-layer,"2.5""",SATA 6 Gbps,Dec 2016,SM2258H,1024 MB(1 TB model),2016,0.5,0,0,0
ADATA Ultimate SU900,1 TB,MLCMicron32-layer,"2.5""",SATA 6 Gbps,Dec 2016,SM2258H,1024 MB(1 TB model),2016,1,0,0,0
ADATA Ultimate SU900,2 TB,MLCMicron32-layer,"2.5""",SATA 6 Gbps,Dec 2016,SM2258H,1024 MB(1 TB model),2016,2,0,0,0
ADATA Ultimate SU800 (Samsung V4),128 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2021,SM2258H,Unknown,2021,0.125,0.5,0,0
ADATA Ultimate SU800 (Samsung V4),256 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2021,SM2258H,Unknown,2021,0.25,0.5,0,0
ADATA Ultimate SU800 (Samsung V4),512 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2021,SM2258H,Unknown,2021,0.5,0.5,0,0
ADATA Ultimate SU800 (Samsung V4),1 TB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2021,SM2258H,Unknown,2021,1,0.5,0,0
ADATA Ultimate SU800 (Samsung V4),2 TB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2021,SM2258H,Unknown,2021,2,0.5,0,0
ADATA Ultimate SU800 (Micron B0KB),128 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,Aug 2016,SM2258H,Unknown,2016,0.125,0.5,0,0
ADATA Ultimate SU800 (Micron B0KB),256 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,Aug 2016,SM2258H,Unknown,2016,0.25,0.5,0,0
ADATA Ultimate SU800 (Micron B0KB),512 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,Aug 2016,SM2258H,Unknown,2016,0.5,0.5,0,0
ADATA Ultimate SU800 (Micron B0KB),1 TB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,Aug 2016,SM2258H,Unknown,2016,1,0.5,0,0
ADATA Ultimate SU800 (Micron B0KB),2 TB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,Aug 2016,SM2258H,Unknown,2016,2,0.5,0,0
ADATA Ultimate SU760,256 GB,Unknown,"2.5""",SATA 6 Gbps,2016,RTS5733DMQ,DRAM-less,2016,0.25,0,0,0
ADATA Ultimate SU760,512 GB,Unknown,"2.5""",SATA 6 Gbps,2016,RTS5733DMQ,DRAM-less,2016,0.5,0,0,0
ADATA Ultimate SU760,1 TB,Unknown,"2.5""",SATA 6 Gbps,2016,RTS5733DMQ,DRAM-less,2016,1,0,0,0
ADATA Ultimate SU750,256 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,Feb 2019,RTS5733DMQ,DRAM-less,2019,0.25,0,0,0
ADATA Ultimate SU750,512 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,Feb 2019,RTS5733DMQ,DRAM-less,2019,0.5,0,0,0
ADATA Ultimate SU750,1 TB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,Feb 2019,RTS5733DMQ,DRAM-less,2019,1,2,2,4
ADATA Ultimate SU720,500 GB,Unknown,"2.5""",SATA 6 Gbps,Jun 2020,Unknown,DRAM-less,2020,0.48828125,0,0,0
ADATA Ultimate SU720,1 TB,Unknown,"2.5""",SATA 6 Gbps,Jun 2020,Unknown,DRAM-less,2020,1,0,0,0
ADATA Ultimate SU720,2 TB,Unknown,"2.5""",SATA 6 Gbps,Jun 2020,Unknown,DRAM-less,2020,2,0,0,0
ADATA Ultimate SU650 (RTS5735DLQ + YMTC CDT1B),512 GB,TLCYMTC128-layer,"2.5""",SATA 6 Gbps,2021,RTS5735DLQ,DRAM-less,2021,0.5,1,0,0
ADATA Ultimate SU650 (RTS5735DLQ + SK Hynix V7),240 GB,TLCSK Hynix176-layer,"2.5""",SATA 6 Gbps,2023,RTS5735DLQ,DRAM-less,2023,0.234375,1,0,0
ADATA Ultimate SU650 (MAS0902 + Micron B27A),240 GB,TLCMicron96-layer,"2.5""",SATA 6 Gbps,2020,MAS0902A-B2C,DRAM-less,2020,0.234375,1,0,0
ADATA Ultimate SU650 (SM2259XT2 + Intel N38A),240 GB,QLCIntel144-layer,"2.5""",SATA 6 Gbps,2022,SM2259XT2,DRAM-less,2022,0.234375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Samsung V4),60 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.05859375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Samsung V4),120 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.1171875,0,0,0
ADATA Ultimate SU650 (SM2258XT + Samsung V4),240 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.234375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Samsung V4),480 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.46875,1,0,0
ADATA Ultimate SU650 (SM2258XT + Samsung V4),960 GB,TLCSamsung64-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.9375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B16A),60 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,2019,SM2258XT,DRAM-less,2019,0.05859375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B16A),120 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,2019,SM2258XT,DRAM-less,2019,0.1171875,0,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B16A),240 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,2019,SM2258XT,DRAM-less,2019,0.234375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B16A),480 GB,TLCMicron64-layer,"2.5""",SATA 6 Gbps,2019,SM2258XT,DRAM-less,2019,0.46875,1,0,0
ADATA Ultimate SU650 (MAS0902 + Micron B0KB),960 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2018,MAS0902A-B2C,DRAM-less,2018,0.9375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B0KB),60 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.05859375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B0KB),120 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.1171875,0,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B0KB),240 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.234375,1,0,0
ADATA Ultimate SU650 (SM2258XT + Micron B0KB),480 GB,TLCMicron32-layer,"2.5""",SATA 6 Gbps,2018,SM2258XT,DRAM-less,2018,0.46875,1,0,0
ADATA Ultimate SU630 (SM2259XT + SpecTek N18A),240 GB,QLCSpecTek64-layer,"2.5""",SATA 6 Gbps,2021,SM2259XT,DRAM-less,2021,0.234375,0,0,0
ADATA Ultimate SU630 (SM2259XT + SpecTek N18A),480 GB,QLCSpecTek64-layer,"2.5""",SATA 6 Gbps,2021,SM2259XT,DRAM-less,2021,0.46875,0,0,0
ADATA Ultimate SU630 (SM2259XT + SpecTek N18A),960 GB,QLCSpecTek64-layer,"2.5""",SATA 6 Gbps,2021,SM2259XT,DRAM-less,2021,0.9375,0,0,0
ADATA Ultimate SU630 (MAS0902 + SpecTek N18A),240 GB,QLCSpecTek64-layer,"2.5""",SATA 6 Gbps,Nov 2018,MAS0902A-B2C,DRAM-less,2018,0.234375,0,0,0
ADATA Ultimate SU630 (MAS0902 + SpecTek N18A),480 GB,QLCSpecTek64-layer,"2.5""",SATA 6 Gbps,Nov 2018,MAS0902A-B2C,DRAM-less,2018,0.46875,0,0,0
ADATA Ultimate SU630 (MAS0902 + SpecTek N18A),960 GB,QLCSpecTek64-layer,"2.5""",SATA 6 Gbps,Nov 2018,MAS0902A-B2C,DRAM-less,2018,0.9375,0,0,0
ADATA Swordfish,250 GB,TLCSandisk96-layer,M.2 2280,PCIe 3.0 x4,Jun 2020,RTS5763DL,DRAM-less(64 MB HMB),2020,0.244140625,0,0,0
ADATA Swordfish,500 GB,TLCSandisk96-layer,M.2 2280,PCIe 3.0 x4,Jun 2020,RTS5763DL,DRAM-less(64 MB HMB),2020,0.48828125,0,0,0
ADATA Swordfish,1 TB,TLCSandisk96-layer,M.2 2280,PCIe 3.0 x4,Jun 2020,RTS5763DL,DRAM-less(64 MB HMB),2020,1,0.5,4,6
ADATA Swordfish,2 TB,TLCSandisk96-layer,M.2 2280,PCIe 3.0 x4,Jun 2020,RTS5763DL,DRAM-less(64 MB HMB),2020,2,0,0,0
ADATA SE900G (Samsung V4),512 GB,TLCSamsung64-layer,M.2 2280,PCIe 3.0 x4,Feb 2021,SM2262ENG,1024 MB(1 TB model),2021,0.5,0,0,0
ADATA SE900G (Samsung V4),1 TB,TLCSamsung64-layer,M.2 2280,PCIe 3.0 x4,Feb 2021,SM2262ENG,1024 MB(1 TB model),2021,1,0,0,0
ADATA SE900G (Samsung V4),2 TB,TLCSamsung64-layer,M.2 2280,PCIe 3.0 x4,Feb 2021,SM2262ENG,1024 MB(1 TB model),2021,2,0,0,0
ADATA SE900G (SpecTek B27A),512 GB,TLCSpecTek96-layer,M.2 2280,PCIe 3.0 x4,Feb 2021,SM2262ENG,1024 MB(1 TB model),2021,0.5,0,0,0
ADATA SE900G (SpecTek B27A),1 TB,TLCSpecTek96-layer,M.2 2280,PCIe 3.0 x4,Feb 2021,SM2262ENG,1024 MB(1 TB model),2021,1,0,0,0
ADATA SE900G (SpecTek B27A),2 TB,TLCSpecTek96-layer,M.2 2280,PCIe 3.0 x4,Feb 2021,SM2262ENG,1024 MB(1 TB model),2021,2,0,0,0
ADATA Project Nightbird,1 TB,TLCUnknown,M.2 2280,PCIe 5.0 x4,2022,IG5666,Unknown,2022,1,0,0,0
ADATA Project NeonStorm,1 TB,Unknown,M.2 2280,PCIe 5.0 x4,2023,IG5666,Unknown,2023,1,0,0,0
ADATA Premium SSD for PS5,512 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,0.5,0,0,0
ADATA Premium SSD for PS5,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,1,0,0,0
ADATA Premium SSD for PS5,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,2,0,0,0
ADATA Premium SSD for PS5,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,1024 MB(1 TB model),2022,4,0,0,0
ADATA Legend 970 Pro,1 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Jul 2024,IG5666,Unknown(1 TB model),2024,1,0,0,0
ADATA Legend 970 Pro,2 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Jul 2024,IG5666,Unknown(1 TB model),2024,2,6,8,12
ADATA Legend 970 Pro,4 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Jul 2024,IG5666,Unknown(1 TB model),2024,4,0,0,0
ADATA Legend 970,1 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Jul 2023,Phison E26,2048 MB(1 TB model),2023,1,0,0,0
ADATA Legend 970,2 TB,TLCMicron232-layer,M.2 2280,PCIe 5.0 x4,Jul 2023,Phison E26,2048 MB(1 TB model),2023,2,6,8,12
ADATA Legend 960 Max,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Nov 2022,SM2264F,1024 MB(1 TB model),2022,1,0,0,0
ADATA Legend 960 Max,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Nov 2022,SM2264F,1024 MB(1 TB model),2022,2,1,6,8
ADATA Legend 960 Max,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Nov 2022,SM2264F,1024 MB(1 TB model),2022,4,0,0,0
ADATA Legend 960,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Aug 2022,SM2264F,1024 MB(1 TB model),2022,1,0,0,0
ADATA Legend 960,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Aug 2022,SM2264F,1024 MB(1 TB model),2022,2,1,6,10
ADATA Legend 960,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Aug 2022,SM2264F,1024 MB(1 TB model),2022,4,0,0,0
ADATA Legend 850 Lite,500 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,DRAM-less(64 MB HMB),2023,0.48828125,0,0,0
ADATA Legend 850 Lite,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,DRAM-less(64 MB HMB),2023,1,0,0,0
ADATA Legend 850 Lite,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,DRAM-less(64 MB HMB),2023,2,0,0,0
ADATA Legend 850 (SM2269XT + YMTC CDT1B),1 TB,TLCYMTC128-layer,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,DRAM-less(64 MB HMB),2023,1,0,0,0
ADATA Legend 850 (SM2269XT + Micron B47R),512 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,DRAM-less(64 MB HMB),2023,0.5,0,0,0
ADATA Legend 850 (SM2269XT + Micron B47R),1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,DRAM-less(64 MB HMB),2023,1,0,0,0
ADATA Legend 850 (SM2269XT + Micron B47R),2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2023,SM2269XT,DRAM-less(64 MB HMB),2023,2,0,0,0
ADATA Legend 840,512 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Nov 2021,IG5220,DRAM-less(64 MB HMB),2021,0.5,0,0,0
ADATA Legend 840,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Nov 2021,IG5220,DRAM-less(64 MB HMB),2021,1,0,0,0
ADATA Falcon,256 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,DRAM-less(64 MB HMB),2020,0.25,0,0,0
ADATA Falcon,512 GB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,DRAM-less(64 MB HMB),2020,0.5,0.5,0,0
ADATA Falcon,1 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,DRAM-less(64 MB HMB),2020,1,0.5,4,6
ADATA Falcon,2 TB,TLCMicron96-layer,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,DRAM-less(64 MB HMB),2020,2,0.5,0,0
Addlink X70 RGB,256 GB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,Sep 2021,Phison E12,1024 MB(1 TB model),2021,0.25,0,0,4
Addlink X70 RGB,512 GB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,Sep 2021,Phison E12,1024 MB(1 TB model),2021,0.5,0,0,6
Addlink X70 RGB,1 TB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,Sep 2021,Phison E12,1024 MB(1 TB model),2021,1,2,6,8
Addlink X70 RGB,2 TB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,Sep 2021,Phison E12,1024 MB(1 TB model),2021,2,0,6,8
Addlink S95,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Dec 2020,Phison E18,1024 MB(1 TB model),2020,1,0,0,0
Addlink S95,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Dec 2020,Phison E18,1024 MB(1 TB model),2020,2,0,0,0
Addlink S91 (Phison E21T + Kioxia BiCS5),512 GB,TLCKioxia112-layer,M.2 2230,PCIe 4.0 x4,Apr 2023,Phison E21T,DRAM-less(64 MB HMB),2023,0.5,0,0,0
Addlink S91 (Phison E21T + Micron N48R),1 TB,QLCMicron176-layer,M.2 2230,PCIe 4.0 x4,Apr 2023,Phison E21T,DRAM-less(64 MB HMB),2023,1,0,0,0
Addlink S91 (Phison E21T + Micron N48R),2 TB,QLCMicron176-layer,M.2 2230,PCIe 4.0 x4,Apr 2023,Phison E21T,DRAM-less(64 MB HMB),2023,2,2,4,4
Addlink S90 Lite,512 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Jun 2022,Phison E21T,DRAM-less(64 MB HMB),2022,0.5,0,0,0
Addlink S90 Lite,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Jun 2022,Phison E21T,DRAM-less(64 MB HMB),2022,1,0,0,0
Addlink S90 Lite,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Jun 2022,Phison E21T,DRAM-less(64 MB HMB),2022,2,2,4,6
Addlink S90 Lite,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Jun 2022,Phison E21T,DRAM-less(64 MB HMB),2022,4,0,0,0
Addlink S90,1 TB,TLCToshiba96-layer,M.2 2280,PCIe 4.0 x4,Nov 2020,Phison E16,1024 MB(1 TB model),2020,1,0,0,0
Addlink S90,2 TB,TLCToshiba96-layer,M.2 2280,PCIe 4.0 x4,Nov 2020,Phison E16,1024 MB(1 TB model),2020,2,0,0,0
Addlink S70,256 GB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2019,Phison E12,1024 MB(1 TB model),2019,0.25,0,0,0
Addlink S70,512 GB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2019,Phison E12,1024 MB(1 TB model),2019,0.5,0,0,0
Addlink S70,1 TB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2019,Phison E12,1024 MB(1 TB model),2019,1,0,0,0
Addlink S70,2 TB,TLCToshiba64-layer,M.2 2280,PCIe 3.0 x4,2019,Phison E12,1024 MB(1 TB model),2019,2,0,0,0
Addlink NAS D60,960 GB,TLCKioxia112-layer,M.2 2280,PCIe 4.0 x4,2024,Phison E18DC,2048 MB(960 GB model),2024,0.9375,6,8,10
Addlink A95,1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Sep 2021,Phison E18,1024 MB(1 TB model),2021,1,0,0,0
Addlink A95,2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Sep 2021,Phison E18,1024 MB(1 TB model),2021,2,0,0,0
Addlink A95,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Sep 2021,Phison E18,1024 MB(1 TB model),2021,4,0,0,0
Addlink A93,1 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Aug 2023,MAP1602A,DRAM-less(32 MB HMB),2023,1,0,0,0
Addlink A93,2 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Aug 2023,MAP1602A,DRAM-less(32 MB HMB),2023,2,0,0,0
Addlink A93,4 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Aug 2023,MAP1602A,DRAM-less(32 MB HMB),2023,4,1,4,6
Addlink A92,1 TB,QLCMicron96-layer,M.2 2280,PCIe 4.0 x4,Oct 2021,Phison E16,1024 MB(1 TB model),2021,1,0,0,0
Addlink A92,2 TB,QLCMicron96-layer,M.2 2280,PCIe 4.0 x4,Oct 2021,Phison E16,1024 MB(1 TB model),2021,2,0,0,0
Addlink A92,4 TB,QLCMicron96-layer,M.2 2280,PCIe 4.0 x4,Oct 2021,Phison E16,1024 MB(1 TB model),2021,4,0,0,0
Addlink A90,1 TB,TLCToshiba96-layer,M.2 2280,PCIe 4.0 x4,Oct 2021,Phison E16,1024 MB(1 TB model),2021,1,0,0,0
Addlink A90,2 TB,TLCToshiba96-layer,M.2 2280,PCIe 4.0 x4,Oct 2021,Phison E16,1024 MB(1 TB model),2021,2,0,0,0
Advantech SQF-S25 830,120 GB,TLCToshibaPlanar,"2.5""",SATA 6 Gbps,2017,Phison S10,128 MB(120 GB model),2017,0.1171875,0,0,0
Aigo SMI70,1 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Mar 2024,SM2268XT,DRAM-less,2024,1,0,0,0
Aigo SMI70,2 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Mar 2024,SM2268XT,DRAM-less,2024,2,1,4,6
Aigo SMI70,4 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,Mar 2024,SM2268XT,DRAM-less,2024,4,0,0,0
AMD Radeon R7,240 GB,MLCToshibaPlanar,"2.5""",SATA 6 Gbps,Aug 2014,Barefoot 3 M00,512 MB(240 GB model),2014,0.234375,0,0,0
AMD Radeon R5 (SM2259XT2 + Solodigm N4PA Q5171A),512 GB,pQLC (PLC)Intel192-layer,"2.5""",SATA 6 Gbps,Unknown,SM2259XT2,DRAM-less,nown,0.5,0,0,0
AMD Radeon R5 (SM2259XT2 + Kioxia BiCS5),256 GB,TLCKioxia112-layer,"2.5""",SATA 6 Gbps,Unknown,SM2259XT2,DRAM-less,nown,0.25,0,0,0
Anaconda i4-X Fiery Serpent,1 TB,TLCKioxia112-layer,M.2 2280,PCIe 4.0 x4,Mar 2023,Phison E18,1024 MB(1 TB model),2023,1,0,0,0
Anaconda i4-X Fiery Serpent,2 TB,TLCKioxia112-layer,M.2 2280,PCIe 4.0 x4,Mar 2023,Phison E18,1024 MB(1 TB model),2023,2,0,0,0
Anaconda i4-X Fiery Serpent,4 TB,TLCKioxia112-layer,M.2 2280,PCIe 4.0 x4,Mar 2023,Phison E18,1024 MB(1 TB model),2023,4,0,0,0
